COMPANY,PRICE,PRICE CHANGE,DATETIME
"Tesla, Inc. (TSLA)",228.24,-4.72,2023-08-16 11:58:13.152759
NIO Inc. (NIO),11.44,-0.39,2023-08-16 11:58:14.461116
"AMC Entertainment Holdings, Inc. (AMC)",3.5199,-0.1601,2023-08-16 11:58:15.900085
Kenvue Inc. (KVUE),23.07,-0.19,2023-08-16 11:58:17.577502
Nu Holdings Ltd. (NU),7.71,-0.20,2023-08-16 11:58:18.774363
"Advanced Micro Devices, Inc. (AMD)",107.59,-3.76,2023-08-16 11:58:20.482080
DLocal Limited (DLO),22.67,+7.17,2023-08-16 11:58:22.290905
NVIDIA Corporation (NVDA),438.55,-0.85,2023-08-16 11:58:23.359212
Apple Inc. (AAPL),177.65,+0.20,2023-08-16 11:58:24.594375
Johnson & Johnson (JNJ),173.52,+0.58,2023-08-16 11:58:26.018531
Coherent Corp. (COHR),30.82,-16.19,2023-08-16 11:58:27.241328
Bank of America Corporation (BAC),29.46,-0.48,2023-08-16 11:58:28.487345
"Amazon.com, Inc. (AMZN)",135.71,-1.96,2023-08-16 11:58:29.682119
Palantir Technologies Inc. (PLTR),15.40,+0.03,2023-08-16 11:58:30.664244
"AMC Entertainment Holdings, Inc. (APE)",2.1018,-0.0082,2023-08-16 11:58:31.739491
Sea Limited (SE),40.06,-0.52,2023-08-16 11:58:33.146950
Target Corporation (TGT),129.19,+4.14,2023-08-16 11:58:34.928209
Alibaba Group Holding Limited (BABA),89.11,-2.48,2023-08-16 11:58:36.428549
Ford Motor Company (F),11.93,-0.05,2023-08-16 11:58:37.486795
"Rivian Automotive, Inc. (RIVN)",20.82,+0.04,2023-08-16 11:58:38.793172
"JD.com, Inc. (JD)",34.83,-1.14,2023-08-16 11:58:39.990076
"Marathon Digital Holdings, Inc. (MARA)",13.37,-0.56,2023-08-16 11:58:41.786627
Energy Transfer LP (ET),12.85,+0.28,2023-08-16 11:58:43.103755
"Lucid Group, Inc. (LCID)",6.26,-0.15,2023-08-16 11:58:44.354710
Banco Bradesco S.A. (BBD),3.0950,+0.0450,2023-08-16 11:58:45.526547
"Tesla, Inc. (TSLA)",228.29,-4.67,2023-08-16 12:13:47.022837
NIO Inc. (NIO),11.44,-0.39,2023-08-16 12:13:48.213583
"AMC Entertainment Holdings, Inc. (AMC)",3.5250,-0.1550,2023-08-16 12:13:49.450308
Kenvue Inc. (KVUE),23.16,-0.10,2023-08-16 12:13:50.654114
Nu Holdings Ltd. (NU),7.63,-0.28,2023-08-16 12:13:52.056388
"Advanced Micro Devices, Inc. (AMD)",107.40,-3.95,2023-08-16 12:13:53.343848
DLocal Limited (DLO),22.74,+7.24,2023-08-16 12:13:54.654650
